TYPE,DATE,START TIME,END TIME,USAGE (kWh),NOTES
Electric usage,2025-06-17,07:00,07:29,0.96
Electric usage,2025-06-17,07:30,07:59,1.15
Electric usage,2025-06-17,08:00,08:29,1.77
Electric usage,2025-06-17,08:30,08:59,1.85
Electric usage,2025-06-17,09:00,09:29,3.38
Electric usage,2025-06-17,09:30,09:59,2.40
Electric usage,2025-06-17,10:00,10:29,2.81
Electric usage,2025-06-17,10:30,10:59,2.61
Electric usage,2025-06-17,11:00,11:29,2.29
Electric usage,2025-06-17,11:30,11:59,3.49
Electric usage,2025-06-17,12:00,12:29,3.63
Electric usage,2025-06-17,12:30,12:59,3.70
Electric usage,2025-06-17,13:00,13:29,3.69
Electric usage,2025-06-17,13:30,13:59,3.53
Electric usage,2025-06-17,14:00,14:29,2.97
Electric usage,2025-06-17,14:30,14:59,2.40
Electric usage,2025-06-17,15:00,15:29,2.57
Electric usage,2025-06-17,15:30,15:59,2.74
Electric usage,2025-06-17,16:00,16:29,2.50
Electric usage,2025-06-17,16:30,16:59,3.53
Electric usage,2025-06-17,17:00,17:29,3.85
Electric usage,2025-06-17,17:30,17:59,5.29
Electric usage,2025-06-17,18:00,18:29,4.66
Electric usage,2025-06-17,18:30,18:59,3.70
Electric usage,2025-06-17,19:00,19:29,3.56
Electric usage,2025-06-17,19:30,19:59,3.03
Electric usage,2025-06-17,20:00,20:29,2.59
Electric usage,2025-06-17,20:30,20:59,2.85
Electric usage,2025-06-17,21:00,21:29,3.30
Electric usage,2025-06-17,21:30,21:59,3.21
Electric usage,2025-06-17,22:00,22:29,2.58
Electric usage,2025-06-17,22:30,22:59,2.20
Electric usage,2025-06-17,23:00,23:29,1.97
Electric usage,2025-06-17,23:30,23:59,2.82
Electric usage,2025-06-18,00:00,00:29,2.59
Electric usage,2025-06-18,00:30,00:59,1.63
Electric usage,2025-06-18,01:00,01:29,1.46
Electric usage,2025-06-18,01:30,01:59,0.93
Electric usage,2025-06-18,02:00,02:29,0.90
Electric usage,2025-06-18,02:30,02:59,0.91
Electric usage,2025-06-18,03:00,03:29,0.92
Electric usage,2025-06-18,03:30,03:59,0.92
Electric usage,2025-06-18,04:00,04:29,0.91
Electric usage,2025-06-18,04:30,04:59,0.91
Electric usage,2025-06-18,05:00,05:29,0.92
Electric usage,2025-06-18,05:30,05:59,0.92
Electric usage,2025-06-18,06:00,06:29,0.90
Electric usage,2025-06-18,06:30,06:59,1.01
Electric usage,2025-06-18,07:00,07:29,0.95
Electric usage,2025-06-18,07:30,07:59,0.94
Electric usage,2025-06-18,08:00,08:29,0.90
Electric usage,2025-06-18,08:30,08:59,1.02
Electric usage,2025-06-18,09:00,09:29,1.35
Electric usage,2025-06-18,09:30,09:59,1.56
Electric usage,2025-06-18,10:00,10:29,1.35
Electric usage,2025-06-18,10:30,10:59,2.12
Electric usage,2025-06-18,11:00,11:29,1.56
Electric usage,2025-06-18,11:30,11:59,2.01
Electric usage,2025-06-18,12:00,12:29,1.48
Electric usage,2025-06-18,12:30,12:59,1.34
Electric usage,2025-06-18,13:00,13:29,1.34
Electric usage,2025-06-18,13:30,13:59,1.26
Electric usage,2025-06-18,14:00,14:29,1.64
Electric usage,2025-06-18,14:30,14:59,1.49
Electric usage,2025-06-18,15:00,15:29,1.51
Electric usage,2025-06-18,15:30,15:59,1.63
Electric usage,2025-06-18,16:00,16:29,1.67
Electric usage,2025-06-18,16:30,16:59,1.49
Electric usage,2025-06-18,17:00,17:29,1.23
Electric usage,2025-06-18,17:30,17:59,1.43
Electric usage,2025-06-18,18:00,18:29,1.39
Electric usage,2025-06-18,18:30,18:59,1.07
Electric usage,2025-06-18,19:00,19:29,0.85
Electric usage,2025-06-18,19:30,19:59,0.86
Electric usage,2025-06-18,20:00,20:29,0.84
Electric usage,2025-06-18,20:30,20:59,0.86
Electric usage,2025-06-18,21:00,21:29,0.97
Electric usage,2025-06-18,21:30,21:59,0.89
Electric usage,2025-06-18,22:00,22:29,1.14
Electric usage,2025-06-18,22:30,22:59,2.19
Electric usage,2025-06-18,23:00,23:29,1.36
Electric usage,2025-06-18,23:30,23:59,1.00
Electric usage,2025-06-19,00:00,00:29,1.03
Electric usage,2025-06-19,00:30,00:59,1.03
Electric usage,2025-06-19,01:00,01:29,1.04
Electric usage,2025-06-19,01:30,01:59,1.03
Electric usage,2025-06-19,02:00,02:29,1.06
Electric usage,2025-06-19,02:30,02:59,0.94
Electric usage,2025-06-19,03:00,03:29,0.89
